Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,flujo_voz:flujo_completo,142,139,9,32.374177466254864,3.8351000112015754,897.5917999923695,51.7887323943662,0.20477728878643583,0.20045100803742663,9,10,12,15,23,72,390,870,900,900,900
GET,flujo_voz:pasar_plata_numero_monto,10,7,8,22.6287700003013,5.2254000038374215,114.17509999591857,65.0,0.014420935830030693,0.010094655081021486,9,11,26,29,110,110,110,110,110,110,110
,Aggregated,152,146,9,31.733032238231605,3.8351000112015754,897.5917999923695,52.6578947368421,0.21919822461646654,0.21054566311844813,9,10,12,15,26,92,360,870,900,900,900
